Product Code,Product Name,Product Category,UOM,UPC,Bill of Materials,Batched Product
104848,BRONZE 10.5 CM,WRAPPING,Kilogram,1351214000254,N,N
104849,MSC-26 BRONZE 7CM,WRAPPING,Kilogram,1351214000255,N,N
104850,BRONZE 7.5 CM,WRAPPING,Kilogram,1351214000256,N,N
104858,BROWN MMC-16 7CM,WRAPPING,Kilogram,1351214000258,N,N
104853,MMC-13 BROWN 7CM,WRAPPING,Kilogram,1351214000261,N,N
104861,MMC-25 CAMEL 7CM,WRAPPING,Kilogram,1351214000263,N,N
104925,CHOCOLALA PAPER MAROON,WRAPPING,Kilogram,1351214000271,N,N
103136,CHOCOLALA BIG BOX 525X385X435MM,PACKAGING,Pieces,1351214000276,N,N
102594,CHOCOLALA BOX CUP SIZE 92X71CM(24PCS),BOXES,Pieces,1351214000277,N,N
104873,CHOCOLALA CHOCOLATE PAPER PARIS LIFE BLUE ROLL 8.3X10.8 CM,WRAPPING,Kilogram,1351214000280,N,N
104874,CHOCOLALA CHOCOLATE PAPER PARIS LIFE BLUE ROLL 8.3X9 CM,WRAPPING,Kilogram,1351214000281,N,N
104886,CHOCOLALA CHOCOLATE PAPER PARIS LIFE PINK ROLL 8.3X10.8 CM,WRAPPING,Kilogram,1351214000308,N,N
104910,CHOCOLALA PAPER BRONZE 1X20KG,WRAPPING,Kilogram,1351214000341,N,N
104911,CHOCOLALA PAPER BROWN 1X20KG,WRAPPING,Kilogram,1351214000342,N,N
104913,CHOCOLALA PAPER CHOCOLATE 1X20KG,WRAPPING,Kilogram,1351214000344,N,N
104916,CHOCOLALA PAPER DARK COFFEE 1X20KG,WRAPPING,Kilogram,1351214000346,N,N
104918,CHOCOLALA PAPER LIGHT BLUE 1X20KG,WRAPPING,Kilogram,1351214000347,N,N
104919,CHOCOLALA PAPER LIGHT COFFEE 1X20KG,WRAPPING,Kilogram,1351214000348,N,N
104921,CHOCOLALA PAPER LIGHT GREEN 1X20KG,WRAPPING,Kilogram,1351214000349,N,N
104924,CHOCOLALA PAPER LIGHT PINK 1X20KG,WRAPPING,Kilogram,1351214000350,N,N
104926,CHOCOLALA PAPER MAUVE 1X20KG,WRAPPING,Kilogram,1351214000351,N,N
104927,CHOCOLALA PAPER ORANGE 1X20KG,WRAPPING,Kilogram,1351214000352,N,N
104932,CHOCOLALA PAPER SKY BLUE 1X20KG,WRAPPING,Kilogram,1351214000354,N,N
104424,STICKER CHOCOLALA CIGAR RECT. SILVER 1X5000,STICKERS,Rolls,1351214000362,N,N
104426,STICKER CHOCOLALA FINGER LONG GOLD 1X20000,STICKERS,Rolls,1351214000363,N,N
104435,STICKER CHOCOLALA OVAL GOLD 3*1.8CM,STICKERS,Rolls,1351214000365,N,N
104437,STICKER CHOCOLALA OVAL SILVER 1X5000,STICKERS,Rolls,1351214000366,N,N
104439,STICKER CHOCOLALA ROUND GOLD (2.5CM) 1X5000,STICKERS,Rolls,1351214000367,N,N
104440,STICKER CHOCOLALA ROUND SMALL GOLD 1X5000 2 CM,STICKERS,Rolls,1351214000368,N,N
104444,STICKER CHOCOLALA SQUARE GOLD 1X12500,SEMI FINI- ACRYLIC BOX,Rolls,1351214000369,N,N
104469,CHOCOLALA TOYS MIXED DESIGN,ACCESSORIES,Pieces,1351214000378,N,N
104470,CHOCOLALA-TEDDY BEAR PINK,MOULD,Pieces,1351214000379,N,N
104935,CHOCOLATE PAPER CP001/CP030 ROLL 10.5CM (GOLD),BELGIUM- OPEN,Kilogram,1351214000384,N,N
104940,CHOCOLATE PAPER CP001 ROLL 8CM (GOLD),WRAPPING,Kilogram,1351214000388,N,N
104942,CHOCOLATE PAPER CP001/CP030 ROLL 9CM (GOLD),FINI- NUTS,Kilogram,1351214000389,N,N
103222,CLING FILM 45CM,DISPOSABLE,Rolls,1351214000402,N,N
100967,CLOROX(4L),CLEANING ITEM,Can,1351214000403,N,N
103223,"CPE SHOE COVER 14""""""",DISPOSABLE,Packet,1351214000404,N,N
